task_id,split,workload,kind,prompt,expected_answer,required_actions,unavailable_actions,cost_budget
train-document_processing-059,train,document_processing,crossfield_check,"Decompose the requested fields, extract them, and verify the identifier from: Asset record; Region=CE; Serial=8059; Owner=Team-4",CE-8059,decompose|use_tool|verify,,4.5
train-document_processing-060,train,document_processing,direct_literal,Return the literal answer R060.,R060,,,4.5
train-document_processing-061,train,document_processing,document_extract,Use document extraction to return the Region from: Record ID: D-061; Region: V-061; Status: valid,V-061,use_tool,,4.5
train-document_processing-062,train,document_processing,invoice_reconcile,"Extract, compute, and verify this invoice because the stated total may be wrong: Invoice I-062; Items: 16,15,10,18; Stated total: 57",59,use_tool|execute_code|verify,,4.5
train-document_processing-063,train,document_processing,date_normalize,Extract the date and delegate locale interpretation for this EU record: Case C-063; Date: 13/01/2024; Locale: EU,2024-01-13,use_tool|delegate,,4.5
train-document_processing-064,train,document_processing,crossfield_check,"Decompose the requested fields, extract them, and verify the identifier from: Asset record; Region=SW; Serial=8064; Owner=Team-4",SW-8064,decompose|use_tool|verify,,4.5
train-document_processing-065,train,document_processing,direct_literal,Return the literal answer R065.,R065,,,4.5
train-document_processing-066,train,document_processing,document_extract,Use document extraction to return the Account from: Record ID: D-066; Account: V-066; Status: valid,V-066,use_tool,,4.5
train-document_processing-067,train,document_processing,invoice_reconcile,"Extract, compute, and verify this invoice because the stated total may be wrong: Invoice I-067; Items: 16,9,22,4; Stated total: 54",51,use_tool|execute_code|verify,,4.5
train-document_processing-068,train,document_processing,date_normalize,Extract the date and delegate locale interpretation for this US record: Case C-068; Date: 06/18/2026; Locale: US,2026-06-18,use_tool|delegate,,4.5
train-document_processing-069,train,document_processing,crossfield_check,"Decompose the requested fields, extract them, and verify the identifier from: Asset record; Region=NE; Serial=8069; Owner=Team-4",NE-8069,decompose|use_tool|verify,,4.5
train-document_processing-070,train,document_processing,direct_literal,Return the literal answer R070.,R070,,,4.5
train-document_processing-071,train,document_processing,document_extract,Use document extraction to return the Owner from: Record ID: D-071; Owner: V-071; Status: valid,V-071,use_tool,,4.5
